id,name
333,Njarakkad
334,Illichuvade
335,Ashupatyhri Padi
336,Ashupathri Padi
337,Kanjiramkavala
338,Tiyrampilly
339,Iyrampilly
340,Irambilly
341,Pazhayarikandom
342,Kodikkulam
343,Paingottoor
344,Chalakamuke
345,Blathikavala
346,Thennethoor
347,Napadekar
348,Mullankuthy
